Sub,Effect,Trial,A1,A2,B1,B2,C1,C2,resp,response,RT
15,Com2,78,6.3,4.6,5.4,5.5,4.4,6.5,1,2,2.883
15,Com3,80,5.6,5.5,4.7,6.4,3.6,7.5,1,1,5.136
15,Com2,81,6.4,4.7,5.5,5.6,4.5,6.6,1,2,5.408
15,Com2,82,6.6,4.5,5.5,5.6,4.5,6.6,1,2,2.99
15,Com3,85,5.5,5.4,4.4,6.5,3.4,7.5,3,1,5.249
15,Com2,90,6.8,4.1,5.7,5.2,4.8,6.1,2,2,2.847
15,Com1,91,7.4,3.5,6.5,4.4,5.4,5.5,1,3,5.935
15,Com3,93,5.6,5.4,4.7,6.3,3.6,7.4,2,1,3.823
15,Com1,95,7.5,3.4,6.3,4.6,5.4,5.5,2,3,4.238
15,Com1,99,7.4,3.4,6.3,4.5,5.4,5.4,3,3,6.207
15,Com2,100,6.3,4.6,5.4,5.5,4.5,6.4,3,2,4.815
15,Com3,101,5.5,5.5,4.5,6.5,3.4,7.6,2,1,2.256
15,Com1,104,7.6,3.3,6.5,4.4,5.5,5.4,1,3,4.637
15,Com3,105,5.6,5.2,4.5,6.3,3.5,7.3,2,1,3.743
15,Com2,106,6.2,4.9,5.3,5.8,4.2,6.9,3,2,10.623
15,Com2,108,6.3,4.6,5.4,5.5,4.3,6.6,1,2,3.011
15,Com1,109,7.5,3.5,6.6,4.4,5.6,5.4,3,3,4.046
15,Com3,110,5.6,5.4,4.7,6.3,3.5,7.5,2,1,4.655
15,Com2,113,6.4,4.5,5.4,5.5,4.3,6.6,3,2,3.457
15,Com2,117,6.5,4.4,5.6,5.3,4.7,6.2,2,2,5.491
15,Com1,118,7.8,3.1,6.8,4.1,5.7,5.2,3,3,3.133
15,Com2,120,6.6,4.4,5.6,5.4,4.7,6.3,1,2,2.928
15,Com1,121,7.4,3.6,6.4,4.6,5.4,5.6,3,3,2.786
15,Com3,122,5.5,5.7,4.6,6.6,3.5,7.7,3,1,6.023
15,Com2,123,6.3,4.5,5.4,5.4,4.5,6.3,3,2,3.456
15,Com3,126,5.4,5.5,4.3,6.6,3.3,7.6,1,1,3.375
15,Com2,129,6.4,4.6,5.4,5.6,4.3,6.7,3,2,7.105
15,Com3,133,5.4,5.6,4.5,6.5,3.4,7.6,3,1,2.542
15,Com3,134,5.4,5.5,4.5,6.4,3.3,7.6,3,1,2.753
15,Com1,135,7.6,3.5,6.5,4.6,5.6,5.5,3,3,3.65
15,Com3,139,5.6,5.3,4.7,6.2,3.6,7.3,1,1,8.046
15,Com2,140,6.6,4.5,5.6,5.5,4.5,6.6,3,2,2.626
15,Com2,141,6.5,4.3,5.6,5.2,4.5,6.3,2,2,2.431
15,Com2,142,6.5,4.6,5.6,5.5,4.7,6.4,2,2,2.56
15,Com1,148,7.6,3.5,6.6,4.5,5.6,5.5,2,3,3.057
15,Com1,150,7.5,3.5,6.5,4.5,5.4,5.6,3,3,2.064
15,Com2,151,6.6,4.9,5.7,5.8,4.6,6.9,1,2,2.498
15,Com1,152,7.4,3.3,6.4,4.3,5.3,5.4,2,3,2.335
15,Com1,153,7.6,3.4,6.6,4.4,5.6,5.4,2,3,3.328
