Sub,Effect,Trial,A1,A2,B1,B2,C1,C2,resp,response,RT
6,Com2,15,5.3,5.6,4.2,6.7,3.4,7.5,2,1,14.447
6,SimB1,15,4.4,2.6,3.5,3.5,4.5,2.5,1,2,6.687
6,Com2,16,5.4,5.6,4.4,6.6,3.5,7.5,2,1,5.265
6,SimA2,16,2.7,4.4,3.6,3.5,3.8,3.3,1,2,3.089
6,SimB2,17,4.5,2.5,3.5,3.5,3.3,3.7,1,2,6.815
6,AttR1,18,2.3,4.6,4.5,2.4,1.7,4.6,3,2,8.739
6,Com2,18,5.4,5.7,4.4,6.7,3.5,7.6,2,1,14.527
6,AttR1,19,1.9,4.9,4.8,2.0,1.2,4.9,2,2,43.953
6,SimA2,19,2.5,4.3,3.4,3.4,3.6,3.2,2,3,1.969
6,AttR1,20,2.5,4.5,4.7,2.3,1.8,4.5,3,1,11.027
6,SimA1,20,2.4,4.7,3.5,3.6,2.2,4.9,1,3,1.598
6,Com2,21,5.3,5.6,4.4,6.5,3.3,7.6,1,1,10.69
6,AttR1,22,2.4,4.4,4.7,2.1,1.7,4.4,3,1,13.842
6,Com2,22,5.2,5.6,4.3,6.5,3.1,7.7,2,1,7.807
6,AttR2,23,2.2,4.8,4.5,2.5,4.5,1.9,3,2,25.557
6,Com1,23,7.4,3.6,5.4,5.6,4.5,6.5,2,2,1.391
6,SimB1,23,4.3,2.5,3.4,3.4,4.4,2.4,2,3,6.688
6,Com2,24,5.3,5.7,4.2,6.8,3.3,7.7,1,1,24.198
6,SimB2,24,4.4,2.6,3.5,3.5,3.4,3.6,1,1,3.07
6,Com1,25,7.4,3.5,5.3,5.6,4.4,6.5,2,2,5.873
6,SimB2,25,4.6,2.6,3.6,3.6,3.5,3.7,1,1,5.024
6,AttR2,26,1.9,4.9,4.8,2.0,4.8,1.4,2,2,27.246
6,Com1,26,7.3,3.7,5.3,5.7,4.2,6.8,1,2,3.632
6,SimA1,26,2.4,4.6,3.5,3.5,2.2,4.8,2,2,2.272
6,Com1,27,7.1,3.9,5.2,5.8,4.1,6.9,1,2,3.533
6,AttR2,28,2.5,4.5,4.4,2.6,4.4,2.0,2,1,17.12
6,AttR1,29,2.5,4.5,4.4,2.6,1.8,4.5,2,1,15.89
6,Com2,29,5.3,5.8,4.3,6.8,3.4,7.7,3,1,10.48
6,SimA2,29,2.4,4.6,3.5,3.5,3.7,3.3,3,2,2.753
6,AttR1,30,2.3,4.8,4.5,2.6,1.6,4.8,3,1,21.487
6,Com1,30,7.4,3.7,5.4,5.7,4.4,6.7,3,2,12.559
6,SimB2,30,4.3,2.7,3.4,3.6,3.2,3.8,1,2,3.328
6,Com1,31,7.4,3.6,5.3,5.7,4.3,6.7,2,2,10.592
6,AttR2,32,2.4,4.7,4.6,2.5,4.6,1.7,1,2,14.734
6,AttR2,33,2.2,4.6,4.4,2.4,4.4,1.6,1,2,9.538
6,Com2,33,5.3,5.7,4.4,6.6,3.4,7.6,2,1,18.848
6,SimA2,33,2.4,4.6,3.4,3.6,3.6,3.4,1,2,8.224
6,AttR2,34,2.6,4.5,4.6,2.5,4.6,1.9,1,2,24.591
6,Com1,34,7.4,3.7,5.3,5.8,4.3,6.8,1,2,15.182
6,SimB2,34,4.3,2.5,3.4,3.4,3.3,3.5,2,2,2.688
6,Com1,35,7.4,3.6,5.4,5.6,4.4,6.6,1,2,4.018
6,Com1,36,7.3,3.5,5.2,5.6,4.3,6.5,2,2,1.967
6,SimB2,36,4.6,2.6,3.6,3.6,3.5,3.7,2,1,8.686
6,AttR1,38,2.2,4.6,4.4,2.4,1.4,4.6,3,2,16.161
6,SimB1,39,4.5,2.5,3.5,3.5,4.6,2.4,2,1,4.049
6,Com1,40,7.3,3.6,5.3,5.6,4.4,6.5,1,2,3.922
6,SimB2,40,4.5,2.5,3.5,3.5,3.4,3.6,1,2,2.047
6,AttR1,41,2.4,4.7,4.6,2.5,1.6,4.7,1,2,22.288
6,SimA1,42,2.6,4.7,3.6,3.7,2.5,4.8,3,3,2.416
6,SimB2,43,4.5,2.6,3.6,3.5,3.5,3.6,2,3,2.609
6,SimB1,44,4.3,2.7,3.4,3.6,4.4,2.6,3,2,3.63
6,SimA1,45,2.4,4.6,3.4,3.6,2.2,4.8,1,2,3.568
6,AttR1,47,2.5,4.6,4.4,2.7,1.9,4.6,1,1,32.591
6,Com2,48,5.3,5.8,4.3,6.8,3.2,7.9,1,1,10.062
6,Com2,50,5.2,5.7,4.1,6.8,3.2,7.7,3,1,3.071
6,SimB1,50,4.5,2.5,3.5,3.5,4.7,2.3,2,2,5.648
6,AttR2,52,2.5,4.5,4.6,2.4,4.6,1.8,1,1,24.368
6,Com1,52,7.3,3.6,5.3,5.6,4.2,6.7,3,2,15.425
6,SimB1,52,4.6,2.6,3.6,3.6,4.8,2.4,1,2,3.343
6,Com1,53,7.4,3.5,5.3,5.6,4.3,6.6,2,2,4.784
6,SimB1,53,4.5,2.6,3.6,3.5,4.6,2.5,3,2,5.233
6,AttR2,54,2.6,4.4,4.7,2.3,4.7,1.7,1,2,22.576
6,Com2,54,5.4,5.8,4.5,6.7,3.3,7.9,3,2,5.938
6,SimA2,54,2.7,4.5,3.6,3.6,3.8,3.4,1,2,4.639
6,Com1,55,7.4,3.7,5.3,5.8,4.2,6.9,1,2,8.479
6,SimB1,55,4.6,2.7,3.6,3.7,4.7,2.6,1,2,2.079
6,AttR2,56,2.6,4.6,4.8,2.4,4.8,1.7,3,2,5.762
6,Com1,57,7.3,3.8,5.3,5.8,4.3,6.8,2,2,4.429
6,AttR2,59,2.5,4.5,4.8,2.2,4.8,1.4,3,2,18.243
6,SimA1,60,2.6,4.4,3.5,3.5,2.5,4.5,2,2,5.551
6,AttR2,61,2.4,4.4,4.7,2.1,4.7,1.3,1,2,25.407
6,AttR1,62,2.3,4.6,4.4,2.5,1.5,4.6,3,2,9.535
6,SimA1,62,2.5,4.5,3.5,3.5,2.4,4.6,2,2,5.167
6,AttR1,63,2.6,4.4,4.7,2.3,2.0,4.4,3,2,13.47
6,Com2,63,5.2,5.8,4.1,6.9,3.1,7.9,1,2,8.656
6,AttR1,64,2.6,4.5,4.6,2.5,1.9,4.5,2,2,17.281
6,Com1,64,7.3,3.9,5.4,5.8,4.5,6.7,3,2,5.2
6,AttR2,65,2.0,4.6,4.3,2.3,4.3,1.6,1,2,22.545
6,SimA1,65,2.7,4.5,3.6,3.6,2.6,4.6,2,1,7.871
6,Com2,66,5.3,5.8,4.2,6.9,3.3,7.8,1,2,4.084
6,SimB1,66,4.4,2.7,3.5,3.6,4.5,2.6,3,2,6.322
6,Com1,67,7.4,3.6,5.3,5.7,4.4,6.6,2,2,4.255
6,Com2,69,5.3,5.6,4.3,6.6,3.3,7.6,1,2,3.569
6,SimA1,70,2.7,4.4,3.6,3.5,2.5,4.6,2,2,2.271
6,AttR1,71,2.5,4.5,4.6,2.4,1.9,4.5,2,2,9.073
6,Com2,71,5.2,5.6,4.1,6.7,3.3,7.5,3,2,8.751
6,AttR2,72,2.3,4.8,4.5,2.6,4.5,1.9,2,2,4.465
6,Com2,74,5.3,5.6,4.4,6.5,3.2,7.7,2,2,5.871
6,SimA2,75,2.5,4.5,3.5,3.5,3.6,3.4,1,2,7.056
6,SimB2,76,4.4,2.7,3.5,3.6,3.4,3.7,1,2,1.539
6,AttR2,77,2.5,4.6,4.4,2.7,4.4,2.1,2,1,5.007
6,SimA1,77,2.5,4.3,3.4,3.4,2.4,4.4,1,2,1.505
6,AttR2,78,2.3,4.6,4.5,2.4,4.5,1.7,2,2,4.447
6,AttR1,79,2.5,4.5,4.8,2.2,1.9,4.5,2,2,3.183
6,SimA2,79,2.4,4.7,3.5,3.6,3.7,3.4,1,2,2.743
6,Com1,80,7.3,3.5,5.2,5.6,4.1,6.7,2,2,8.576
6,SimA2,80,2.6,4.7,3.6,3.7,3.8,3.5,2,2,2.096
7,Com2,1,5.3,5.7,4.2,6.8,3.3,7.7,1,3,36.006
7,AttR1,1,2.4,4.4,4.7,2.1,1.7,4.4,3,2,15.638
7,SimB2,1,4.6,2.6,3.6,3.6,3.5,3.7,2,3,14.838
7,AttR2,2,1.9,4.9,4.8,2.0,4.8,1.4,3,2,11.534
7,SimB1,2,4.6,2.6,3.6,3.6,4.8,2.4,2,2,9.666
7,Com1,4,7.3,3.5,5.2,5.6,4.3,6.5,1,2,23.186
7,Com2,5,5.2,5.7,4.1,6.8,3.2,7.7,2,1,9.09
7,Com1,6,7.2,3.9,5.3,5.8,4.4,6.7,1,2,8.611
7,AttR2,6,2.6,4.5,4.6,2.5,4.6,1.9,1,1,8.594
7,SimB2,6,4.5,2.6,3.6,3.5,3.5,3.6,1,1,16.37
7,AttR2,7,2.6,4.4,4.7,2.3,4.7,1.7,3,2,14.478
7,Com1,8,7.4,3.8,5.4,5.8,4.3,6.9,1,2,5.505
