Sub,Effect,Trial,A1,A2,B1,B2,C1,C2,response,choice,RT
2,SimA2,228,3.6,7.4,5.5,5.5,5.7,5.3,2,2,1.41
2,SimB1,233,7.6,3.5,5.5,5.6,7.8,3.3,3,2,3.149
2,SimB2,234,7.4,3.5,5.5,5.4,5.3,5.6,1,1,6.225
2,SimB2,235,7.4,3.6,5.4,5.6,5.2,5.8,1,1,6.206
2,SimB2,236,7.5,3.4,5.5,5.4,5.3,5.6,3,1,7.168
2,SimA2,237,3.3,7.5,5.4,5.4,5.6,5.2,3,1,2.43
2,SimA2,238,3.5,7.6,5.5,5.6,5.6,5.5,1,1,1.855
2,SimB1,239,7.6,3.3,5.5,5.4,7.7,3.2,2,2,4.237
2,SimB1,240,7.6,3.4,5.5,5.5,7.7,3.3,2,2,4.015
3,SimB1,5,7.6,3.6,5.6,5.6,7.7,3.5,2,3,26.513
3,SimA2,7,3.3,7.5,5.4,5.4,5.6,5.2,1,1,11.315
3,SimA1,9,3.4,7.7,5.5,5.6,3.2,7.9,1,3,11.717
3,SimA2,10,3.5,7.5,5.5,5.5,5.6,5.4,2,1,9.714
3,SimB2,12,7.4,3.6,5.5,5.5,5.4,5.6,1,1,8.258
3,SimA2,13,3.6,7.3,5.5,5.4,5.7,5.2,2,3,8.979
3,SimA1,16,3.5,7.5,5.4,5.6,3.3,7.7,2,3,6.628
3,SimA1,17,3.6,7.3,5.5,5.4,3.4,7.5,1,3,5.091
3,SimA2,18,3.5,7.5,5.5,5.5,5.6,5.4,2,1,5.491
3,SimA2,20,3.4,7.7,5.5,5.6,5.6,5.5,3,1,4.212
3,SimA1,22,3.5,7.5,5.5,5.5,3.3,7.7,1,2,4.227
3,SimB2,26,7.7,3.5,5.6,5.6,5.4,5.8,3,3,4.461
3,SimB1,27,7.6,3.5,5.5,5.6,7.8,3.3,1,1,5.391
3,SimA1,28,3.5,7.7,5.6,5.6,3.4,7.8,2,3,6.88
3,SimA1,31,3.6,7.3,5.5,5.4,3.4,7.5,1,2,4.352
3,SimA1,33,3.4,7.5,5.4,5.5,3.2,7.7,1,3,3.279
3,SimB1,34,7.7,3.5,5.6,5.6,7.8,3.4,1,3,3.808
3,SimB2,36,7.5,3.4,5.5,5.4,5.3,5.6,1,1,3.52
3,SimB2,40,7.6,3.4,5.5,5.5,5.3,5.7,3,3,3.089
3,SimA1,43,3.5,7.5,5.5,5.5,3.3,7.7,2,3,4.145
3,SimA1,46,3.6,7.3,5.5,5.4,3.4,7.5,1,3,4.352
3,SimA2,47,3.3,7.6,5.4,5.5,5.5,5.4,3,1,2.385
3,SimA2,48,3.4,7.6,5.5,5.5,5.7,5.3,3,1,7.311
3,SimB1,50,7.4,3.6,5.4,5.6,7.5,3.5,2,3,3.539
3,SimB1,54,7.6,3.5,5.5,5.6,7.7,3.4,2,1,3.277
3,SimA2,55,3.4,7.5,5.4,5.5,5.6,5.3,1,3,1.809
3,SimA2,59,3.5,7.5,5.5,5.5,5.6,5.4,3,1,4.096
3,SimB1,63,7.3,3.6,5.4,5.5,7.5,3.4,1,3,2.688
3,SimB1,65,7.5,3.4,5.5,5.4,7.6,3.3,1,3,4.062
3,SimB2,68,7.4,3.6,5.4,5.6,5.2,5.8,1,1,6.399
3,SimB1,69,7.6,3.3,5.5,5.4,7.7,3.2,1,1,2.72
3,SimB1,74,7.4,3.6,5.4,5.6,7.6,3.4,2,1,4.225
3,SimA1,80,3.3,7.6,5.4,5.5,3.1,7.8,3,3,1.696
3,SimB1,81,7.6,3.6,5.7,5.5,7.8,3.4,3,3,1.935
3,SimB2,82,7.5,3.4,5.5,5.4,5.3,5.6,3,1,4.081
3,SimB1,86,7.3,3.7,5.4,5.6,7.5,3.5,1,3,2.338
3,SimA1,87,3.5,7.5,5.5,5.5,3.3,7.7,2,3,1.81
3,SimA1,90,3.5,7.6,5.5,5.6,3.4,7.7,1,3,1.456
3,SimA1,95,3.3,7.5,5.4,5.4,3.2,7.6,1,3,3.487
3,SimA2,96,3.3,7.5,5.3,5.5,5.5,5.3,2,1,4.11
3,SimA2,97,3.7,7.3,5.6,5.4,5.8,5.2,2,3,3.601
3,SimB1,99,7.7,3.5,5.6,5.6,7.9,3.3,1,3,1.694
3,SimA1,101,3.4,7.6,5.5,5.5,3.3,7.7,3,3,2.175
3,SimB2,102,7.3,3.6,5.4,5.5,5.3,5.6,1,1,5.92
3,SimA2,104,3.4,7.5,5.5,5.4,5.7,5.2,3,1,3.47
3,SimA2,105,3.7,7.5,5.6,5.6,5.7,5.5,1,3,1.374
3,SimA1,106,3.7,7.5,5.7,5.5,3.6,7.6,3,2,4.312
3,SimB2,107,7.4,3.6,5.4,5.6,5.2,5.8,2,1,3.281
3,SimB2,108,7.6,3.4,5.5,5.5,5.4,5.6,2,1,4.59
3,SimB1,111,7.3,3.5,5.3,5.5,7.5,3.3,2,1,2.577
3,SimA2,113,3.4,7.6,5.4,5.6,5.5,5.5,2,1,2.113
3,SimB2,114,7.3,3.6,5.4,5.5,5.2,5.7,3,1,1.964
3,SimB2,115,7.6,3.6,5.6,5.6,5.4,5.8,1,1,3.427
3,SimA1,118,3.7,7.5,5.6,5.6,3.5,7.7,2,3,1.23
3,SimA2,120,3.4,7.5,5.4,5.5,5.6,5.3,1,3,1.918
3,SimB2,121,7.4,3.5,5.5,5.4,5.4,5.5,1,1,1.52
3,SimA1,122,3.6,7.6,5.6,5.6,3.5,7.7,2,3,4.999
3,SimB1,126,7.6,3.5,5.5,5.6,7.8,3.3,3,3,6.384
3,SimB1,128,7.4,3.5,5.4,5.5,7.5,3.4,2,3,2.703
3,SimB2,132,7.6,3.5,5.5,5.6,5.4,5.7,1,2,2.4
3,SimA2,133,3.5,7.6,5.5,5.6,5.6,5.5,2,1,1.55
3,SimB2,137,7.5,3.6,5.5,5.6,5.4,5.7,3,1,1.854
3,SimB2,138,7.4,3.5,5.5,5.4,5.3,5.6,1,1,1.681
3,SimB2,145,7.6,3.6,5.6,5.6,5.4,5.8,1,1,1.455
3,SimB1,148,7.6,3.4,5.5,5.5,7.7,3.3,1,3,2.127
3,SimB1,149,7.3,3.6,5.4,5.5,7.5,3.4,1,3,3.215
3,SimA2,150,3.6,7.6,5.6,5.6,5.8,5.4,2,1,6.738
3,SimA2,153,3.6,7.3,5.5,5.4,5.6,5.3,2,2,2.002
3,SimA1,156,3.6,7.3,5.5,5.4,3.4,7.5,1,3,4.465
3,SimB1,157,7.6,3.4,5.5,5.5,7.8,3.2,2,3,1.519
3,SimA1,158,3.5,7.5,5.5,5.5,3.4,7.6,2,3,2.161
3,SimA2,160,3.6,7.3,5.5,5.4,5.7,5.2,1,1,2.462
3,SimA2,163,3.5,7.5,5.4,5.6,5.5,5.5,1,1,1.727
3,SimA1,164,3.6,7.5,5.5,5.6,3.4,7.7,2,3,1.537
3,SimB1,165,7.6,3.4,5.5,5.5,7.7,3.3,1,3,1.278
3,SimB2,166,7.6,3.4,5.5,5.5,5.4,5.6,3,1,1.814
3,SimB2,168,7.6,3.4,5.5,5.5,5.4,5.6,2,1,1.712
3,SimA1,169,3.7,7.5,5.6,5.6,3.6,7.6,2,3,2.14
3,SimB2,170,7.6,3.6,5.7,5.5,5.6,5.6,2,1,1.79
3,SimB2,172,7.6,3.4,5.6,5.4,5.4,5.6,2,1,2.223
3,SimB2,174,7.5,3.3,5.4,5.4,5.3,5.5,3,1,1.65
3,SimB1,175,7.6,3.4,5.6,5.4,7.8,3.2,2,3,1.343
3,SimB2,176,7.6,3.3,5.5,5.4,5.3,5.6,1,1,1.368
3,SimA1,177,3.4,7.5,5.5,5.4,3.2,7.7,3,3,1.735
3,SimB2,180,7.3,3.7,5.4,5.6,5.2,5.8,2,3,2.432
3,SimA1,182,3.5,7.6,5.5,5.6,3.4,7.7,1,3,3.814
3,SimB1,183,7.6,3.4,5.5,5.5,7.7,3.3,1,3,1.328
3,SimA2,185,3.5,7.5,5.5,5.5,5.6,5.4,2,1,2.455
3,SimA2,186,3.6,7.4,5.5,5.5,5.7,5.3,2,1,4.255
3,SimA2,187,3.4,7.6,5.5,5.5,5.6,5.4,3,1,2.402
3,SimA1,189,3.3,7.5,5.3,5.5,3.1,7.7,3,3,5.01
3,SimB2,191,7.6,3.5,5.5,5.6,5.3,5.8,3,1,2.224
3,SimB1,192,7.5,3.5,5.5,5.5,7.6,3.4,2,3,2.094
3,SimA1,194,3.4,7.6,5.4,5.6,3.3,7.7,2,3,3.726
3,SimA2,196,3.7,7.5,5.7,5.5,5.8,5.4,2,1,2.127
3,SimA1,197,3.4,7.6,5.5,5.5,3.2,7.8,1,3,2.11
3,SimB2,198,7.6,3.5,5.5,5.6,5.3,5.8,3,1,2.593
3,SimB2,199,7.5,3.5,5.5,5.5,5.4,5.6,3,1,1.954
3,SimA1,200,3.7,7.3,5.6,5.4,3.5,7.5,1,3,2.352
3,SimA2,204,3.6,7.3,5.5,5.4,5.6,5.3,3,1,1.759
3,SimB2,205,7.6,3.4,5.5,5.5,5.4,5.6,2,1,1.743
3,SimB2,206,7.3,3.5,5.3,5.5,5.1,5.7,1,3,1.73
3,SimB1,208,7.4,3.5,5.5,5.4,7.5,3.4,1,3,1.744
3,SimB1,209,7.6,3.4,5.5,5.5,7.8,3.2,2,3,1.406
3,SimA2,210,3.6,7.5,5.5,5.6,5.6,5.5,3,1,6.679
3,SimB1,211,7.6,3.6,5.6,5.6,7.8,3.4,1,1,1.839
3,SimB1,212,7.5,3.6,5.5,5.6,7.6,3.5,1,3,1.696
3,SimA2,214,3.7,7.5,5.6,5.6,5.8,5.4,2,1,2.911
3,SimA1,215,3.6,7.4,5.5,5.5,3.5,7.5,1,3,1.471
3,SimB2,217,7.7,3.5,5.6,5.6,5.4,5.8,2,1,1.265
3,SimA2,219,3.5,7.6,5.5,5.6,5.6,5.5,2,1,2.271
3,SimB1,220,7.5,3.4,5.5,5.4,7.7,3.2,2,3,1.503
3,SimA2,225,3.5,7.5,5.4,5.6,5.5,5.5,2,2,3.022
3,SimA1,227,3.4,7.5,5.4,5.5,3.3,7.6,1,1,1.542
3,SimB1,229,7.4,3.6,5.5,5.5,7.6,3.4,2,3,1.264
3,SimB1,230,7.4,3.5,5.5,5.4,7.5,3.4,1,3,6.486
3,SimB2,231,7.4,3.5,5.4,5.5,5.2,5.7,1,1,1.778
3,SimA1,234,3.5,7.5,5.4,5.6,3.3,7.7,2,3,1.335
3,SimB1,237,7.5,3.3,5.4,5.4,7.6,3.2,2,3,1.791
3,SimA2,240,3.5,7.7,5.6,5.6,5.8,5.4,1,1,2.127
4,SimA1,4,3.6,7.6,5.6,5.6,3.5,7.7,1,2,10.883
4,SimA2,6,3.5,7.5,5.5,5.5,5.6,5.4,2,2,6.016
4,SimA1,7,3.5,7.5,5.5,5.5,3.3,7.7,3,2,2.98
4,SimB2,10,7.6,3.4,5.5,5.5,5.4,5.6,1,2,6.724
4,SimA2,13,3.6,7.4,5.5,5.5,5.7,5.3,2,2,12.948
4,SimB1,14,7.5,3.3,5.4,5.4,7.6,3.2,2,2,16.882
4,SimB2,15,7.5,3.4,5.5,5.4,5.3,5.6,1,1,6.387
4,SimB2,16,7.4,3.5,5.4,5.5,5.2,5.7,2,2,3.444
4,SimB2,17,7.6,3.4,5.5,5.5,5.3,5.7,2,2,1.298
4,SimA2,20,3.7,7.5,5.6,5.6,5.8,5.4,2,2,3.265
